A,20170921,65.88,66.14,65.63,65.92,874700
AA,20170921,47.11,47.25,45.97,46.25,3695500
AAN,20170921,39.26,39.89,38.76,38.83,693200
AAP,20170921,94.75,94.97,93.19,93.68,1597200
AAT,20170921,39.98,40.34,39.94,39.94,155100
AB,20170921,24.15,24.2,23.85,23.95,127600
ABB,20170921,24.6,24.715,24.57,24.63,502900
ABBV,20170921,87.36,87.7,86.67,87.41,7340300
ABC,20170921,79.49,80.94,79.2,80.38,1035800
ABEV,20170921,6.85,6.86,6.72,6.74,19374900
ABG,20170921,58.95,59.05,58.4,58.4,164300
ABM,20170921,39.44,39.44,38.92,38.93,355500
ABR,20170921,8.01,8.055,8,8.02,128800
ABR-A,20170921,25.37,25.43,25.37,25.43,1800
ABR-B,20170921,25.34,25.36,25.34,25.36,500
ABR-C,20170921,26.49,26.49,26.45,26.45,1000
ABT,20170921,51.88,51.98,51.38,51.43,5737500
AC,20170921,35.45,36.25,34.45,34.5,26300
ACC,20170921,47.95,48.08,47.3,47.3,444000
ACCO,20170921,11.6,11.7,11.425,11.5,266000
ACH,20170921,23.18,23.23,22.93,23.02,142700
ACM,20170921,34.99,35.1,34.79,34.94,441400
ACN,20170921,137.95,138.12,136.57,136.66,2006900
ACP,20170921,14.46,14.47,14.42,14.43,108600
ACRE,20170921,13.19,13.3,13.19,13.25,47600
ACV,20170921,21.19,21.22,21.13,21.17,20100
ADC,20170921,50.18,50.63,50.05,50.07,177100
ADM,20170921,43.33,43.595,43.26,43.29,2301300
ADNT,20170921,82.5,82.66,81.77,82.24,583300
ADS,20170921,211.3,216.2,210.57,215.81,522800
ADSW,20170921,24.31,24.34,24.07,24.23,149700
ADX,20170921,15.06,15.07,15.01,15.01,51000
AEB,20170921,24.85,24.9,24.75,24.76,22900
AEE,20170921,58.82,59.18,58.63,58.81,766000
AEG,20170921,5.87,5.91,5.87,5.88,1409100
AEL,20170921,28.04,28.59,28.04,28.19,471200
AEM,20170921,46.18,47.045,46.07,46.14,1491500
AEO,20170921,13.87,13.89,13.63,13.67,3141200
AEP,20170921,71.68,71.92,71.37,71.45,1942700
AER,20170921,50.24,50.43,49.84,50.16,533700
AES,20170921,11.28,11.335,11.13,11.13,3259900
AFB,20170921,13.93,13.96,13.89,13.92,51500
AFC,20170921,26.02,26.13,26.02,26.12,4600
AFG,20170921,102.45,103.16,102.075,102.17,273300
AFGH,20170921,26.76,26.8,26.72,26.78,3100
AFI,20170921,15.15,15.19,15.08,15.08,199300
AFL,20170921,41.965,41.97,41.66,41.815,1692500
AFT,20170921,16.55,16.55,16.49,16.52,55800
AG,20170921,6.72,6.98,6.7,6.85,2639700
AGCO,20170921,73.5,74.4,73.3,73.37,951900
