A,20200331,72.34,72.8,70.5,71.62,1822100
AA,20200331,6.16,6.62,6.06,6.16,12501900
AAN,20200331,22.45,23.64,22.21,22.78,1551500
AAP,20200331,95.56,97.38,92.9,93.32,1268600
AAT,20200331,24.55,25.565,24.18,25,607700
AB,20200331,18.72,19.1669,18.36,18.59,282400
ABB,20200331,17.25,17.62,17.07,17.26,4238500
ABBV,20200331,75.4,77.92,74.44,76.19,20481900
ABC,20200331,88.24,90.73,87.11,88.5,2074700
ABEV,20200331,2.35,2.4,2.3,2.3,28246900
ABG,20200331,54.6,56.44,53.42,55.23,167300
ABM,20200331,24.36,25.17,23.85,24.36,853900
ABR,20200331,5.6,5.68,4.8,4.9,3933100
ABR-A,20200331,17,17.02,15.9059,16.6111,13000
ABR-B,20200331,15.5,15.99,14.005,15.99,11800
ABR-C,20200331,13.95,16.13,13.95,16.1,3000
ABT,20200331,81.43,81.49,78.56,78.91,23792200
AC,20200331,30.16,31.02,28.59,30.6,20600
ACA,20200331,38.81,39.9,38.01,39.74,517300
ACB,20200331,0.915,0.98,0.8704,0.9059,31545000
ACC,20200331,29.29,29.5,26.935,27.75,2874800
ACCO,20200331,4.95,5.12,4.87,5.05,1124800
ACE.W,20200331,1.5,1.5,1.4998,1.5,1000
ACEL,20200331,7.21,7.67,7.2,7.5,178100
ACH,20200331,4.97,5.02,4.91,5,74300
ACM,20200331,28.44,30.035,27.65,29.85,5408200
ACN,20200331,167.43,169.88,162.16,163.26,2963200
ACP,20200331,7.21,7.51,7.08,7.35,146900
ACRE,20200331,6.99,7.5,6.9,6.99,830300
ACV,20200331,17.5,18.38,17.5,17.99,76700
ADC,20200331,61.95,63.97,61.09,61.9,1955400
ADM,20200331,35.86,36.48,34.73,35.18,3882300
ADNT,20200331,9.3,9.87,8.74,9.07,1828400
ADS,20200331,33.8,35.52,32.1,33.65,1291200
ADSW,20200331,32.75,32.9,32.57,32.8,1106800
ADT,20200331,4.35,4.545,4.25,4.32,1824500
ADX,20200331,12.73,12.87,12.54,12.59,712700
AEB,20200331,18.75,19.8587,18.01,19.27,18800
AEE,20200331,76.75,76.75,72.48,72.83,2556900
AEFC,20200331,21,21.1773,20.82,20.82,83400
AEG,20200331,2.55,2.56,2.45,2.49,2410200
AEL,20200331,19.63,20.21,18.45,18.8,1025300
AEL-A,20200331,16.45,17.3489,15.56,15.94,62500
AEM,20200331,39.54,40.58,38.83,39.79,1801700
